gene	cell_type	percent_variance_unique	percent_variance_all_composition	raw_logFC	raw_FDR
MPZL2	thyroid_epithelial	3.96205438061704	17.187129779153	2.52359668850727	5.25464409912223e-135
MRO	endothelial	12.6666278716177	20.914287419421	-4.76717324684427	1.4198611414921e-161
MRO	fibroblast	2.11656835043378	20.914287419421	-4.76717324684427	1.4198611414921e-161
MRO	immune	0.0174308092576277	20.914287419421	-4.76717324684427	1.4198611414921e-161
MRO	muscle	1.02689748419676	20.914287419421	-4.76717324684427	1.4198611414921e-161
MRO	other_parenchymal	0.571394948131115	20.914287419421	-4.76717324684427	1.4198611414921e-161
MRO	thyroid_epithelial	0.327590362835874	20.914287419421	-4.76717324684427	1.4198611414921e-161
NECAB1	endothelial	1.17173424611705	5.05920939263274	-2.25199926038973	7.55008167892848e-129
NECAB1	fibroblast	0.228064417147278	5.05920939263274	-2.25199926038973	7.55008167892848e-129
NECAB1	immune	1.8882690083605	5.05920939263274	-2.25199926038973	7.55008167892848e-129
NECAB1	muscle	0.0326693923600839	5.05920939263274	-2.25199926038973	7.55008167892848e-129
NECAB1	other_parenchymal	4.98418845228596e-05	5.05920939263274	-2.25199926038973	7.55008167892848e-129
NECAB1	thyroid_epithelial	0.825795603192665	5.05920939263274	-2.25199926038973	7.55008167892848e-129
NHSL2	endothelial	1.56145590464964	8.78268893944821	1.70348374249653	3.35506709007448e-135
NHSL2	fibroblast	5.59291903617982	8.78268893944821	1.70348374249653	3.35506709007448e-135
NHSL2	immune	0.185682917402882	8.78268893944821	1.70348374249653	3.35506709007448e-135
NHSL2	muscle	0.0769722530294763	8.78268893944821	1.70348374249653	3.35506709007448e-135
NHSL2	other_parenchymal	0.179271188404341	8.78268893944821	1.70348374249653	3.35506709007448e-135
NHSL2	thyroid_epithelial	0.74908145075543	8.78268893944821	1.70348374249653	3.35506709007448e-135
NLGN1	endothelial	0.46237339840703	4.84062621838921	-3.10700143188968	1.83752403630274e-136
NLGN1	fibroblast	3.12481504029361	4.84062621838921	-3.10700143188968	1.83752403630274e-136
NLGN1	immune	0.165562476770217	4.84062621838921	-3.10700143188968	1.83752403630274e-136
NLGN1	muscle	0.728608242213942	4.84062621838921	-3.10700143188968	1.83752403630274e-136
NLGN1	other_parenchymal	0.140880534488997	4.84062621838921	-3.10700143188968	1.83752403630274e-136
NLGN1	thyroid_epithelial	0.172883082398184	4.84062621838921	-3.10700143188968	1.83752403630274e-136
NOL4	endothelial	4.96906718578371	8.67651165884081	-4.97166868682117	3.46948254441629e-149
NOL4	fibroblast	0.512939316098213	8.67651165884081	-4.97166868682117	3.46948254441629e-149
