cell_type	sample	estimate	method	status
Tregs	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
aDC	TCGA-EM-A3AQ-01	0.0447205028408432	xcell	formal_relative_enrichment
cDC	TCGA-EM-A3AQ-01	0.0199589222522729	xcell	formal_relative_enrichment
iDC	TCGA-EM-A3AQ-01	0.0160944400988395	xcell	formal_relative_enrichment
ly Endothelial cells	TCGA-EM-A3AQ-01	0.0969706288907584	xcell	formal_relative_enrichment
mv Endothelial cells	TCGA-EM-A3AQ-01	0.114004400734978	xcell	formal_relative_enrichment
naive B-cells	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
pDC	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
pro B-cells	TCGA-EM-A3AQ-01	2.93023855644069e-17	xcell	formal_relative_enrichment
ImmuneScore	TCGA-EM-A3AQ-01	0.0133439575467088	xcell	formal_relative_enrichment
StromaScore	TCGA-EM-A3AQ-01	0.120042759067488	xcell	formal_relative_enrichment
MicroenvironmentScore	TCGA-EM-A3AQ-01	0.133386716614197	xcell	formal_relative_enrichment
Adipocytes	TCGA-CE-A27D-01	6.26191801265795e-19	xcell	formal_relative_enrichment
Astrocytes	TCGA-CE-A27D-01	0.0430884127952297	xcell	formal_relative_enrichment
B-cells	TCGA-CE-A27D-01	0.0669874528275492	xcell	formal_relative_enrichment
Basophils	TCGA-CE-A27D-01	0.0515372174432255	xcell	formal_relative_enrichment
CD4+ T-cells	TCGA-CE-A27D-01	7.71149643786947e-18	xcell	formal_relative_enrichment
CD4+ Tcm	TCGA-CE-A27D-01	0.00668636154542152	xcell	formal_relative_enrichment
CD4+ Tem	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
CD4+ memory T-cells	TCGA-CE-A27D-01	1.33756754604605e-19	xcell	formal_relative_enrichment
CD4+ naive T-cells	TCGA-CE-A27D-01	0.0100714534460574	xcell	formal_relative_enrichment
CD8+ T-cells	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
CD8+ Tcm	TCGA-CE-A27D-01	0.0129760728210897	xcell	formal_relative_enrichment
CD8+ Tem	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
CD8+ naive T-cells	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
CLP	TCGA-CE-A27D-01	0.0288351189336943	xcell	formal_relative_enrichment
CMP	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
Chondrocytes	TCGA-CE-A27D-01	0.0524918031330308	xcell	formal_relative_enrichment
Class-switched memory B-cells	TCGA-CE-A27D-01	0.039917302461473	xcell	formal_relative_enrichment
DC	TCGA-CE-A27D-01	0.0139822524990119	xcell	formal_relative_enrichment
Endothelial cells	TCGA-CE-A27D-01	0.159945995633607	xcell	formal_relative_enrichment
