gene_symbol	logFC	adj.P.Val	t	regulation
CTSS	2.41873636712753	6.31661337092522e-114	27.170694799842	Up
CYSLTR2	4.51663316052234	1.08743393678813e-113	27.1314749896558	Up
PRELID1P1	4.96005112007176	1.50600655110901e-113	27.1080432785168	Up
RDM1	4.82620619559659	2.0878322972663e-113	27.084466852909	Up
CORO2A	2.19027384152589	2.40174910876351e-113	27.0743576320902	Up
SDC4	2.57977448796726	3.2452310782491e-113	27.052615069131	Up
RP11-480C22.1	5.85212857782911	3.30340844235326e-113	27.0513107159806	Up
CST5	7.27847204301084	7.36709133425698e-113	26.9937139437225	Up
RP11-464D20.2	2.90030992703537	1.68327824233103e-112	26.9339623034615	Up
PCNPP3	5.67564795826944	2.14752647294474e-112	26.9163562657332	Up
HPCAL4	4.25527811398684	2.87314390750657e-112	26.89528703553	Up
RP11-221N13.3	6.84953025473641	1.9175050664762e-111	26.7584209944542	Up
NRCAM	2.27992912826424	3.91020238369755e-111	26.7071055545385	Up
ILDR1	1.65276293522788	1.08458904921478e-110	26.6336721106858	Up
GLT1D1	2.86231843317977	2.74425204997385e-110	26.5666996709261	Up
RP11-60L3.1	7.80275489631348	7.54698871019915e-110	26.4937024296438	Up
LRRC8E	1.77060874295958	1.25900757963336e-109	26.4568272972692	Up
TRPC5	6.81044270353311	1.25902128454054e-109	26.4567935727253	Up
ALDH3B1	2.24241440752697	1.44053050036592e-109	26.4469697688357	Up
FTH1P5	5.20104014976966	4.55581085330374e-109	26.363869439489	Up
RP3-522D1.1	5.51691182795707	8.51174789232877e-108	26.1526678909207	Up
AGR2	4.21901055427553	1.65819295177689e-107	26.104398671083	Up
ARHGAP36	8.31394782386084	2.44432162629941e-107	26.0764196701367	Up
LINC00853	3.27319047619052	3.25968263436666e-107	26.0555751949774	Up
TLCD1	1.52408449820791	4.994492718906e-106	25.8587136394494	Up
AL158801.1	4.8589110535075	2.24911308201918e-105	25.7499165111382	Up
THRSP	3.39706514976964	3.42293120281393e-105	25.7196023844818	Up
RIMBP3C	4.35465243215573	6.48069386341295e-105	25.6735563410548	Up
RP11-525A16.4	6.87875558755775	6.59904847336039e-105	25.6722301971894	Up
RP11-613F7.1	5.61283294930886	1.54695745762424e-104	25.6107567756472	Up
TUSC3	2.58735330901182	1.76253325141935e-104	25.6013510942358	Up
CLRN3	5.01824122503848	2.74410903738221e-104	25.5693964913649	Up
SSTR3	5.3607666346647	2.92670946509301e-104	25.5646919519023	Up
UHRF1	2.31618813364059	3.88727560315863e-104	25.5441482602591	Up
CH507-513H4.5	5.60282557603695	7.82015876583165e-104	25.4935287140374	Up
LSR	1.480297593446	8.69672486081201e-104	25.4858560304784	Up
EEF1A1P6	1.76518837685615	1.08101510568333e-103	25.4701770138006	Up
MARCH4	3.90966747311833	2.15775462667596e-103	25.4199365445071	Up
RP11-259N19.1	1.76090552355353	4.29790822160843e-103	25.3699307055459	Up
RP11-1055B8.2	5.4910532194061	6.42093861285009e-103	25.3410316394959	Up
FEN1	1.24435913978497	7.01261917263947e-103	25.3345676644454	Up
PNPLA5	6.68162308627761	1.41344873209459e-102	25.283589969739	Up
TIMM8AP1	7.39407820020493	3.35176798252123e-102	25.2213135675835	Up
HNRNPA1P12	4.20517446236566	4.16816064660166e-102	25.2053650916542	Up
CENPM	2.13204308966853	4.88972830794371e-102	25.1937415952976	Up
AC073072.7	6.04854240911426	6.42337041781927e-102	25.1739994683072	Up
TK1	1.74743293010755	8.49463829697064e-102	25.1537763599369	Up
VDAC1P2	4.50204052739386	8.74304728127228e-102	25.1516800831563	Up
TMPRSS4	5.52630992703542	1.58103295401195e-101	25.1089699338121	Up
FAXC	2.29609608294935	1.72271015578231e-101	25.1026991031503	Up
SEPT3	2.25972095494115	3.17597449360381e-101	25.0584011719509	Up
MTRNR2L12	3.99621472734261	4.22192509261243e-101	25.0377705764405	Up
ADCY8	6.72284955837185	4.9186304680614e-101	25.0266942890336	Up
CTC-518P12.6	6.28108219406053	5.86430373905764e-101	25.0139854095469	Up
RHNO1	1.23419387480801	7.3473602776919e-101	24.9976865810646	Up
RP11-334L9.1	3.59469573092681	9.62011828053363e-101	24.9782227919658	Up
SMIM1	1.62346899001539	1.32895962925634e-100	24.954825222716	Up
LAGE3	1.32231707629291	1.52003265205463e-100	24.9450949404924	Up
NPTXR	1.81572553763443	8.91469478923289e-100	24.8169727351977	Up
SYT12	6.00601379288284	9.02044207075203e-100	24.8160714455416	Up
OR4D10	6.18598333973392	1.30255553528782e-99	24.7895032368499	Up
RPL5P29	4.60745925499241	4.83318934913659e-99	24.6944121063817	Up
YWHAZP2	5.05388460061452	7.42363354129068e-99	24.6631784511117	Up
CX3CR1	2.46820374423967	1.39708611545609e-98	24.6172501738945	Up
MKRN9P	5.20871435611888	1.71201011046069e-98	24.6024690429586	Up
RP11-44N11.3	6.8497528673836	1.99445508779719e-98	24.5912998393555	Up
KISS1R	4.90643900409635	4.14845825384532e-98	24.5381329003689	Up
AC012668.2	5.24601339605745	7.5851811290692e-98	24.4943368098094	Up
RP11-567I13.1	5.81561073348705	3.0336483021957e-97	24.3937345501892	Up
CKLF	1.47674761264723	6.72430980681358e-97	24.3357372625737	Up
RP5-890E16.4	8.90250085125457	8.99796469671236e-97	24.314675793631	Up
GDF15	3.2006905913979	9.08230617078921e-97	24.3139782390562	Up
FAM207BP	4.4761224398362	1.0576391471301e-96	24.3028022608624	Up
SLC12A5	2.98159829109067	1.664782563004e-96	24.2698579410549	Up
