gene_symbol	logFC	adj.P.Val	t	regulation
ITIH4	-3.28620264976963	1.06907754869291e-185	-39.3481439218278	Down
LZTR1	-2.08693346134156	1.87989301741562e-185	-39.3051826567898	Down
ADH4	-6.8469662250385	3.03341942393374e-185	-39.2687313971794	Down
MRGPRF	-3.79580867895551	4.4418562369148e-185	-39.23962648702	Down
ZNF662	-2.03634607822512	5.8451450048492e-185	-39.2185988621136	Down
CTA-941F9.10	-3.20790147849472	7.15727064188707e-185	-39.2030146947019	Down
CTD-2537I9.12	-3.88246364567338	7.59603334135763e-185	-39.1982330074423	Down
STX16-NPEPL1	-4.61369276753719	8.7991635834184e-185	-39.1868431867765	Down
RP11-680A11.5	-2.41713269969282	1.12778517246466e-184	-39.1678188260145	Down
U73166.2	-3.33617956349212	1.16976313310001e-184	-39.1647744790566	Down
PILRB	-3.39772218381982	1.90736630929977e-184	-39.1275862423373	Down
GOLGA6L9	-2.56402217741939	2.81813518806139e-184	-39.0978474195505	Down
PKD1	-2.47864480926783	3.04722162377169e-184	-39.0916687406395	Down
RPL10P3	7.28641385688692	3.40374421446314e-184	39.0830402599156	Up
LINC01126	-4.09527426395293	3.51395948334033e-184	-39.0803562617635	Down
PDXDC2P	-2.84083950332826	3.56648219937822e-184	-39.0789581479357	Down
RP11-463O12.5	-3.12663172683057	7.2946705990164e-184	-39.0244348804932	Down
DEFA1B	-9.33268247567851	7.90067439962854e-184	-39.0181417794429	Down
LENG8	-2.94466662186384	9.85114259844603e-184	-39.0012320105241	Down
RP5-1126H10.2	-2.34448199564775	1.4081372998987e-183	-38.9740272595238	Down
RP5-855D21.3	-3.24979326676912	1.60640403931242e-183	-38.9638261941564	Down
STAG3L5P-PVRIG2P-PILRB	-2.91394189068105	1.65440764332177e-183	-38.9613354712363	Down
LINC01125	-2.89580908218131	1.83681553918858e-183	-38.9531826826461	Down
RP13-516M14.2	-3.89226114311323	1.91279881445507e-183	-38.9498584543718	Down
ASB14	-2.32821645545318	2.29323021864728e-183	-38.9359211402695	Down
METTL7B	4.60070301459301	2.59233655843581e-183	38.9264161587863	Up
AHSA2	-2.96411422811064	2.60481405627473e-183	-38.9257876834905	Down
RMI2	3.03270988223251	2.72405469676628e-183	38.9221496134275	Up
WNT2B	-2.55114261392733	3.04568664932835e-183	-38.9134767109814	Down
GPC3	-5.34146877880192	5.68506119693287e-183	-38.8662040513133	Down
RPL12P38	5.81483037634418	6.08712162638548e-183	38.8607953947795	Up
CLSTN2	-4.14618140040966	1.27760762482592e-182	-38.8047169162378	Down
RP11-295P9.3	-2.51756130952384	1.30460276649836e-182	-38.8028822266575	Down
PLA2G6	-3.1911240335382	1.63157555304951e-182	-38.7857901188655	Down
SEMA3F-AS1	-2.69870213133645	2.01510966386534e-182	-38.7696433806786	Down
RP11-622C24.2	-3.67522039810552	2.17366335225786e-182	-38.7636861792524	Down
TBC1D8	-2.45167117255508	2.36195162676273e-182	-38.757178344597	Down
