collection	pathway	size	NES	pval	padj	abs_NES
Reactome	GSK3B-mediated proteasomal degradation of PD-L1(CD274)	43	2.64514636678818	3.79169348223876e-08	1.15788132308366e-06	2.64514636678818
Reactome	Cellular response to starvation	148	2.5855178057112	2.68299051710406e-17	1.82979953266497e-15	2.5855178057112
Reactome	Regulation of activated PAK-2p34 by proteasome mediated degradation	36	2.56643929253097	7.09250759611514e-07	1.77934002880138e-05	2.56643929253097
Reactome	Defective CFTR causes cystic fibrosis	47	2.55778862538044	4.34329920648703e-08	1.30682208477536e-06	2.55778862538044
Reactome	Vif-mediated degradation of APOBEC3G	38	2.55067015311614	3.6525698354932e-07	9.833102478183e-06	2.55067015311614
Reactome	Regulation of PD-L1(CD274) Post-translational modification	84	2.53922678794719	9.37557712039976e-11	3.91478179353835e-09	2.53922678794719
Reactome	Regulation of ornithine decarboxylase (ODC)	37	2.53430666015465	9.2342246114131e-07	2.24919328035133e-05	2.53430666015465
Reactome	Vpu mediated degradation of CD4	38	2.5327131398211	5.32078462290683e-07	1.41380848551524e-05	2.5327131398211
Reactome	Influenza Infection	153	2.5245552909812	3.60088516440496e-16	2.30231595199142e-14	2.5245552909812
Reactome	Metabolism of polyamines	45	2.50929081583726	2.08668785656663e-07	5.84844295141826e-06	2.50929081583726
Reactome	Mitochondrial translation elongation	101	2.50739803646675	2.29287588541052e-11	9.98132779053175e-10	2.50739803646675
Reactome	DNA strand elongation	32	2.50086123286568	3.05869849325387e-06	6.58747064968149e-05	2.50086123286568
Reactome	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	41	2.49464077036548	5.68238245730336e-07	1.49053262918496e-05	2.49464077036548
Reactome	FCERI mediated NF-kB activation	134	2.48139264525826	1.82436446664031e-14	1.03684713854057e-12	2.48139264525826
Reactome	Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy	17	2.47816005821515	0.00012844263295899	0.00200605822163431	2.47816005821515
Reactome	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	15	2.4647927211579	6.20648401982116e-05	0.00103239563451659	2.4647927211579
Reactome	Mitochondrial translation initiation	101	2.44983271503774	7.19089407448264e-11	3.06511859924822e-09	2.44983271503774
Reactome	Endosomal/Vacuolar pathway	12	2.43226301910415	0.000129946203552952	0.00201416615507075	2.43226301910415
Reactome	Hh mutants are degraded by ERAD	41	2.40407620627843	1.64454470496027e-06	3.86751547856174e-05	2.40407620627843
Reactome	Fcgamma receptor (FCGR) dependent phagocytosis	153	2.39822063890061	1.56489587203303e-14	9.14793415479878e-13	2.39822063890061
Reactome	G1/S Transition	119	2.39787616610383	2.90436953614464e-12	1.2918130589026e-10	2.39787616610383
Reactome	G1/S-Specific Transcription	29	2.38123006356954	1.92325329480362e-05	0.000364349651960019	2.38123006356954
Reactome	Orc1 removal from chromatin	57	2.37612317482595	1.50256427156702e-07	4.32992464736075e-06	2.37612317482595
Reactome	Degradation of CDH1	51	2.37219889250672	7.13127479773767e-07	1.77934002880138e-05	2.37219889250672
Reactome	Unwinding of DNA	12	2.36995308947954	0.000251317718073616	0.00354617966330082	2.36995308947954
Reactome	SCF(Skp2)-mediated degradation of p27/p21	49	2.35573076480049	8.22554663399858e-07	2.0276467967664e-05	2.35573076480049
Reactome	Creation of C4 and C2 activators	83	2.35045279679622	1.43458410958066e-08	4.51562936646467e-07	2.35045279679622
Reactome	Signaling by the B Cell Receptor (BCR)	156	2.34940604941131	8.95449129984829e-14	4.69766389730502e-12	2.34940604941131
Reactome	AUF1 (hnRNP D0) binds and destabilizes mRNA	41	2.34480562900551	3.36045699017342e-06	7.08813917721115e-05	2.34480562900551
Reactome	FCERI mediated Ca+2 mobilization	98	2.3414144131844	9.6306830873134e-10	3.58261410848058e-08	2.3414144131844
Reactome	Autodegradation of the E3 ubiquitin ligase COP1	37	2.34057098945514	9.44737498407565e-06	0.000187663390460376	2.34057098945514
Reactome	Mitotic G1 phase and G1/S transition	137	2.33592491939723	4.78656689803771e-13	2.22575360758753e-11	2.33592491939723
Reactome	Scavenging of heme from plasma	80	2.31547328966827	6.92041976328175e-09	2.28373852188298e-07	2.31547328966827
Reactome	Regulation of RUNX3 expression and activity	44	2.30362711019199	3.19023484620541e-06	6.79918801597527e-05	2.30362711019199
Reactome	SARS-CoV-1-host interactions	95	2.290310166402	2.00862739776165e-09	7.33866367110775e-08	2.290310166402
Reactome	Regulation of Apoptosis	39	2.2883719968474	1.27758201307036e-05	0.000246597433843582	2.2883719968474
Reactome	Regulation of Complement cascade	106	2.28788103825924	1.69286216226015e-10	6.79136467447896e-09	2.28788103825924
Reactome	Early Phase of HIV Life Cycle	14	2.23129175170814	0.000685362613210439	0.00898879427325998	2.23129175170814
