sample	condition	source
GTEX-14AS3-0226-SM-5Q5B6	Normal	GTEx
GTEX-148VJ-0726-SM-5LU8J	Normal	GTEx
GTEX-1313W-0726-SM-5EGK1	Normal	GTEx
GTEX-X4XX-0926-SM-46MV7	Normal	GTEx
GTEX-1192X-1126-SM-5EGGU	Normal	GTEx
GTEX-146FR-0326-SM-5SI8U	Normal	GTEx
GTEX-11DZ1-2726-SM-5A5KH	Normal	GTEx
GTEX-OIZI-0726-SM-2XCEI	Normal	GTEx
GTEX-P4PQ-2626-SM-33HC9	Normal	GTEx
GTEX-11UD2-0626-SM-5GU6L	Normal	GTEx
GTEX-Q734-0526-SM-2I3EH	Normal	GTEx
GTEX-ZZPU-1326-SM-5GZWS	Normal	GTEx
GTEX-13W46-0926-SM-5LU3T	Normal	GTEx
GTEX-UJMC-0326-SM-3GAE2	Normal	GTEx
GTEX-SUCS-0226-SM-32PLQ	Normal	GTEx
GTEX-13OVI-0826-SM-5KLZ8	Normal	GTEx
GTEX-13VXT-0626-SM-5SIA1	Normal	GTEx
GTEX-VUSG-0426-SM-3GIKD	Normal	GTEx
GTEX-T6MO-0226-SM-32QOL	Normal	GTEx
GTEX-13OW5-0626-SM-5J2N2	Normal	GTEx
GTEX-RU1J-0226-SM-2TF5Y	Normal	GTEx
GTEX-117YX-1226-SM-5H11S	Normal	GTEx
GTEX-12WSK-0926-SM-5CVNQ	Normal	GTEx
GTEX-WHSE-0626-SM-4RGNF	Normal	GTEx
GTEX-QV44-0826-SM-2S1RG	Normal	GTEx
GTEX-XYKS-0826-SM-4BRVF	Normal	GTEx
GTEX-OHPM-2626-SM-5SI7I	Normal	GTEx
GTEX-R55C-0626-SM-2TF4Q	Normal	GTEx
GTEX-SIU7-1126-SM-2XCDW	Normal	GTEx
GTEX-V1D1-0926-SM-4JBHQ	Normal	GTEx
GTEX-Y111-1926-SM-4SOIS	Normal	GTEx
GTEX-V955-0426-SM-3GAEL	Normal	GTEx
GTEX-SNOS-0226-SM-32PLR	Normal	GTEx
GTEX-12WS9-0726-SM-5FQT7	Normal	GTEx
GTEX-OHPM-2626-SM-33HC5	Normal	GTEx
