variant	method	collection	pathway	NES	padj	leading_edge_n	composition_overlap_n	composition_overlap
tcga_matched	voom_qw	KEGG	KEGG_FATTY_ACID_METABOLISM	-1.6225652640366	0.0359346295835564	17	0	
tcga_matched	voom_qw	KEGG	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1.27561415954301	0.15503774680604	19	1	FCER1G
tcga_matched	voom_qw	KEGG	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1.74255171992594	0.00219324967347025	37	0	
tcga_matched	voom_qw	KEGG	KEGG_FOCAL_ADHESION	1.88007599254373	5.61893045511599e-06	69	1	COL1A1
tcga_matched	voom_qw	KEGG	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	-0.967209633802181	0.635847682298971	5	0	
tcga_matched	voom_qw	KEGG	KEGG_GALACTOSE_METABOLISM	1.16818974699822	0.355170369764732	8	0	
tcga_matched	voom_qw	KEGG	KEGG_GAP_JUNCTION	1.14573163048478	0.312355027699175	17	0	
tcga_matched	voom_qw	KEGG	KEGG_GLIOMA	1.97179821143934	0.00123498403519614	21	0	
tcga_matched	voom_qw	KEGG	KEGG_GLUTATHIONE_METABOLISM	1.41537634186771	0.0904430832321039	12	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYCEROLIPID_METABOLISM	-1.12561525546229	0.417490308979212	11	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.978672745657815	0.635847682298971	23	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	-1.52273763927441	0.084482189410412	8	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	-1.04417712888448	0.530431888850758	11	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1.6837823592802	0.0429755990648743	10	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1.04585343830156	0.517884469124263	8	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	1.69757658737379	0.0465199187497409	7	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	2.00355461048685	0.00375211514621369	10	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1.46314471172108	0.134498417503784	7	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.933842629052977	0.65962243502052	5	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.813224900627514	0.845757195945203	5	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	-0.732971554298999	0.885055316370823	8	0	
tcga_matched	voom_qw	KEGG	KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	1.6611956205382	0.0566813686835721	9	0	
tcga_matched	voom_qw	KEGG	KEGG_GNRH_SIGNALING_PATHWAY	1.21639556941226	0.198263942981773	21	0	
tcga_matched	voom_qw	KEGG	KEGG_GRAFT_VERSUS_HOST_DISEASE	2.23654892126151	0.000229439709596494	20	0	
